first_name,last_name,title,from_date,emp_no
Szabolcs,Baezner,Senior Engineer,1994-01-16,232423
Morrie,Stemann,Senior Staff,1991-07-15,232436
Kasturi,Douceur,Senior Staff,1995-12-12,232437
Demos,Polupanov,Staff,1999-09-12,232438
Ottavia,Ressouche,Senior Engineer,1995-07-29,232440
Chirstian,Siepmann,Senior Staff,1997-08-28,232446
Weidon,Perri,Technique Leader,1986-03-24,232466
Margo,Denti,Senior Engineer,1997-04-03,232485
Kankanahalli,Brickell,Senior Staff,1985-03-19,232508
Roddy,Argence,Technique Leader,1987-11-01,232521
Tianruo,Famili,Senior Staff,1987-12-15,232524
Stepehn,Bernick,Senior Staff,1997-03-02,232526
Satyanarayana,Ramsay,Senior Engineer,1995-07-16,232528
Moni,Masada,Senior Staff,1987-10-27,232543
Mani,Vanwelkenhuysen,Engineer,1999-04-02,232545
Utpal,Ratzlaff,Staff,1996-01-23,232546
Ramya,Vernadat,Senior Staff,1992-08-11,232559
Elliott,Lamparter,Senior Engineer,1997-01-13,232561
Vishu,Trachtenberg,Senior Engineer,1995-10-27,232564
Boalin,Benzaken,Senior Staff,1986-08-18,232569
Sreenivas,Weedon,Senior Engineer,1995-09-25,232587
Chuanti,Lienhardt,Senior Engineer,1994-08-09,232592
Zvonko,Percebois,Senior Engineer,1994-09-08,232596
Weiye,Butner,Senior Staff,2000-07-06,232597
Haldon,Kropf,Senior Staff,1992-05-10,232599
Claude,Honglei,Engineer,1999-04-15,232601
Uwe,Butner,Senior Engineer,1999-10-23,232613
Kamran,Guerreiro,Senior Staff,1998-11-25,232617
Arne,Rabejac,Senior Engineer,1996-09-27,232620
Guther,Linares,Senior Engineer,1994-12-04,232623
Behnaam,Codenie,Senior Staff,1994-12-22,232626
Brewster,Radhakrishnan,Senior Engineer,1985-08-29,232632
Yefim,Pell,Senior Engineer,1987-11-10,232635
Duro,Peha,Senior Staff,1991-06-18,232636
Morrie,Morris,Senior Engineer,1999-02-22,232638
Arvind,Orlowski,Senior Staff,1993-03-05,232677
Lijie,Baca,Senior Staff,1994-05-20,232679
Florina,Heering,Staff,1994-05-04,232681
Hyuckchul,Hockney,Senior Engineer,1993-08-31,232684
Kazuhiko,Akiyama,Senior Staff,2001-07-19,232686
Mikhail,Ranon,Staff,1990-01-08,232690
Rutger,Brookner,Technique Leader,1987-03-02,232691
Yakichi,Copas,Staff,1997-04-01,232692
Diederik,Pintelas,Senior Staff,1987-09-15,232694
Palash,Vitiello,Senior Staff,1995-03-12,232711
Manu,Bruckman,Staff,1999-12-12,232716
Mitchel,Srimani,Staff,1999-10-30,232722
Sastry,Jonsson,Senior Engineer,1994-05-01,232727
Zorica,Ernst,Senior Engineer,1993-10-29,232748
Fumitaka,Majewski,Senior Staff,1987-04-12,232750
Tadanori,Sudbeck,Senior Staff,1994-07-29,232753
Jeong,Kisuki,Senior Engineer,1993-02-22,232758
Guenter,Pollacia,Engineer,1999-04-30,232767
Krassimir,Legleitner,Staff,1994-11-11,232801
Branimir,Riesenhuber,Technique Leader,1993-04-10,232802
Owen,Demizu,Senior Engineer,1996-01-03,232806
Uriel,Ghalwash,Senior Engineer,1996-02-12,232808
Jinxi,Shanbhogue,Engineer,1997-06-24,232811
Chandrasekaran,Breugel,Senior Engineer,1992-11-29,232813
Gio,Garigliano,Senior Staff,1997-05-05,232817
Sreenivas,Peck,Engineer,1994-09-15,232818
Chinhyun,Poehlman,Senior Engineer,1994-11-01,232834
Filipp,Gulik,Engineer,1985-06-26,232856
Ebbe,Swiss,Senior Staff,1992-12-03,232857
Mansur,Marrakchi,Senior Engineer,1991-05-28,232860
Tua,Suri,Senior Engineer,1991-12-07,232868
Xinyu,Peroz,Senior Staff,2001-08-04,232878
Uli,Reutenauer,Senior Staff,1997-04-21,232880
Youjian,Emmerich,Senior Engineer,1985-09-30,232881
Zhigen,Pepe,Senior Staff,1986-10-12,232882
Ennio,Comellas,Senior Staff,1986-04-08,232888
Alair,Herath,Senior Staff,1992-03-12,232890
Arif,Leonhardt,Senior Engineer,1995-06-19,232893
Toney,Douceur,Senior Staff,1994-10-15,232897
Bernd,Christ,Senior Staff,1991-12-06,232907
Marin,Borstler,Senior Engineer,1997-01-11,232911
Mayuko,Bultermann,Engineer,1995-10-06,232918
Ugo,Ravishankar,Senior Staff,1996-09-15,232921
Keung,Solovay,Senior Staff,1987-12-23,232933
Noritoshi,Meriste,Senior Staff,1994-12-02,232947
Jianhua,Weedon,Senior Staff,1986-02-13,232951
Duri,Genther,Engineer,1985-02-09,232968
Perla,Chenney,Engineer,1996-03-08,232977
Supot,Etalle,Senior Staff,1994-10-24,232982
Jixiang,Billawala,Senior Staff,1998-02-07,232995
Nirmal,Khamsi,Senior Engineer,1997-02-07,233010
Yuchang,Reistad,Senior Engineer,1991-11-27,233012
Adam,Bisiani,Senior Engineer,1988-05-28,233022
Abdulah,Businaro,Senior Staff,1993-10-27,233030
Terresa,Weedon,Senior Engineer,1998-01-12,233040
Sailaja,Waterhouse,Senior Staff,1996-03-22,233048
Zhenhua,Yoshimura,Senior Staff,1994-11-25,233056
LiMin,Crouzet,Engineer,1999-02-17,233071
Genta,Stranks,Senior Staff,2001-01-11,233079
Marsha,Frezza,Senior Engineer,1992-01-31,233080
Djenana,Olano,Senior Engineer,1998-09-10,233097
Geraldo,Garigliano,Senior Staff,1994-01-18,233099
Zhilian,Garigliano,Senior Staff,1991-10-26,233102
Felicidad,Middleton,Senior Engineer,1987-01-22,233115
Fusako,Otillio,Senior Engineer,1994-01-22,233118
Lucian,Norsworthy,Senior Engineer,1996-09-20,233121
Geoff,Kranzdorf,Senior Engineer,2001-08-23,233126
Kauko,Ruther,Senior Staff,1997-07-05,233136
Yishai,Teitelbaum,Senior Engineer,1998-10-16,233147
Xinan,Brookner,Senior Engineer,1996-03-04,233155
Jayson,Ginneken,Senior Staff,1994-09-12,233163
Mohan,Crooks,Senior Engineer,1996-07-13,233165
Lunjin,Czaja,Senior Staff,1987-12-27,233187
Masaki,Taneja,Engineer,1994-04-17,233194
Masoud,Bottner,Staff,1993-08-30,233196
Kazuhiro,Yurov,Senior Staff,1999-05-16,233212
Kwangjo,Bugrara,Staff,1985-08-31,233222
Sibyl,Baik,Engineer,1995-12-09,233244
Jayson,Hoogerwoord,Senior Staff,2001-02-10,233250
Kyoichi,Merli,Senior Engineer,1994-11-21,233253
Mikhail,Waeselynck,Senior Staff,1985-03-29,233257
Trygve,Teitelbaum,Senior Engineer,1989-09-25,233272
Berto,Eiron,Senior Engineer,1996-06-07,233278
Isamu,Cannane,Senior Engineer,1992-09-24,233284
Karoline,Luby,Senior Engineer,1995-09-22,233314
Shuji,Spelt,Senior Staff,1996-09-06,233330
Vitaly,Madeira,Senior Staff,1993-06-18,233335
Serge,Lienhardt,Senior Staff,1993-11-13,233341
Serenella,Oehlmann,Assistant Engineer,1999-09-16,233346
Mingzeng,Bernick,Senior Engineer,1999-03-02,233354
Yefim,Underwood,Staff,1996-10-31,233364
Sajjad,Kieras,Senior Staff,1992-05-15,233366
Chrisa,Comte,Technique Leader,1987-01-27,233375
Georgi,Kulisch,Senior Engineer,2001-05-07,233385
Aluzio,Wendorf,Senior Staff,1995-09-24,233388
Eldridge,Preusig,Senior Staff,1991-08-06,233391
Vatsa,Rothenberg,Technique Leader,1986-07-06,233400
Munehiko,Kalsbeek,Senior Staff,1995-12-16,233410
Marjo,Kranzdorf,Senior Engineer,1997-02-26,233429
Jingling,Flowers,Senior Staff,1995-11-10,233431
Vivian,Kinley,Senior Engineer,1998-12-08,233434
Satosi,Barvinok,Senior Staff,1985-07-31,233443
Tommaso,Murrill,Senior Engineer,2001-08-22,233451
Adin,Rousseau,Engineer,1988-08-11,233455
Hsiangchu,Bach,Senior Engineer,1994-07-14,233464
Hongzue,Birke,Senior Engineer,1995-11-07,233465
Nectarios,Talmon,Senior Engineer,1992-04-12,233481
Fatemeh,Segond,Senior Engineer,1986-03-25,233484
Chaosheng,Kopetz,Staff,1999-11-18,233489
Basem,Chartres,Senior Engineer,1991-05-27,233494
Snehasis,Eterovic,Senior Engineer,1997-07-09,233498
Utpal,Conry,Senior Engineer,1988-08-16,233518
Magdalena,Ghazalie,Senior Staff,1995-11-23,233520
Shaowen,Lorcy,Senior Staff,1990-03-11,233523
Yuchang,Comyn,Senior Engineer,1998-09-08,233526
Chenye,Woycyznski,Senior Staff,1996-05-11,233527
Along,Cullers,Engineer,1996-05-21,233531
Sasan,Delgrossi,Senior Engineer,1996-02-18,233538
Sumant,Rossi,Staff,1998-02-07,233539
Amalendu,Ecklund,Engineer,1987-04-10,233541
Masali,Dichev,Senior Staff,1993-02-02,233547
Boutros,Benveniste,Senior Engineer,1997-02-16,233557
Jessie,Sridhar,Senior Staff,1995-06-26,233570
Gill,Genin,Senior Staff,1997-02-12,233588
Fox,Lunn,Senior Engineer,1997-02-22,233591
Xiahua,Yamaashi,Senior Staff,1991-03-24,233594
Ulf,Aloia,Senior Staff,1991-04-30,233602
Mabo,Litzler,Senior Staff,1987-08-08,233610
Shigeo,Birta,Engineer,1996-03-15,233612
Nigel,Masand,Staff,1997-04-16,233613
Salvador,Thummel,Senior Engineer,2001-08-28,233647
Fumiya,Gustavson,Senior Staff,2000-01-14,233649
Hatim,Auria,Senior Staff,1993-02-07,233652
Neelam,Chachaty,Senior Engineer,1993-09-15,233653
Chenye,Swick,Senior Engineer,1992-07-16,233659
Adam,Fontet,Senior Engineer,1993-06-13,233681
Faiza,Veldwijk,Senior Engineer,1985-06-03,233687
Shen,Nollmann,Senior Staff,1994-09-28,233701
Lansing,Mawatari,Technique Leader,1992-10-11,233706
Candida,Mayerwieser,Senior Engineer,1991-06-15,233738
Brendon,Schapire,Engineer,1997-10-29,233745
Janche,Yemenis,Senior Staff,1995-12-23,233746
Charlene,Beausoleil,Senior Engineer,1986-08-17,233749
Satosi,Sadowski,Engineer,1996-08-31,233750
Yuuichi,Piazza,Senior Engineer,1993-12-28,233766
Moheb,Huxford,Senior Engineer,1997-12-14,233770
Sumant,Rathonyi,Staff,1997-06-06,233771
Tse,Orlowska,Senior Engineer,1998-08-20,233783
Hideyuki,Zhiwei,Senior Staff,1990-06-19,233791
Pranas,Feinberg,Senior Engineer,1992-08-07,233798
Stepehn,Vingron,Senior Staff,1991-09-27,233800
Charmane,Pettis,Senior Engineer,1988-08-03,233820
Lubomir,Salvesen,Senior Engineer,1990-04-17,233821
Nathan,Mitchem,Senior Staff,1998-07-25,233822
Sariel,Vecchi,Senior Staff,1992-03-02,233828
Guiseppe,Mayerwieser,Senior Engineer,1994-02-11,233834
Vincent,Onuegbe,Senior Engineer,1996-07-30,233835
Filipp,Luef,Senior Engineer,1993-05-06,233837
Irena,Nivat,Senior Engineer,1995-07-06,233858
Shigenori,Vanwelkenhuysen,Senior Staff,2002-03-09,233878
Chinhyun,Tempesti,Staff,1995-03-11,233882
Tiina,Siochi,Engineer,1997-09-01,233892
Shan,Horswill,Senior Staff,1996-11-06,233899
Chenye,Narahari,Staff,1995-04-23,233901
Gina,Quadeer,Senior Engineer,2000-02-23,233930
Nimmagadda,Hanabata,Technique Leader,1992-01-08,233934
Visit,Khalil,Senior Engineer,1986-06-24,233940
Seongbae,Theuretzbacher,Senior Engineer,1999-07-23,233943
Anestis,Hiraishi,Senior Staff,1991-11-14,233951
Mona,Lindqvist,Senior Engineer,2000-05-04,233953
Toney,Magliocco,Senior Engineer,1986-07-31,233958
Luise,Merle,Senior Engineer,2000-12-01,233964
Shimshon,Albarhamtoshy,Senior Staff,1995-09-07,233966
Werner,Leuchs,Senior Engineer,1997-02-23,233975
Angel,Francisci,Senior Engineer,1991-11-05,233981
Neelam,Marrevee,Senior Staff,1993-01-28,234004
Babette,Oskamp,Senior Engineer,1996-02-21,234007
Yuqun,Schoegge,Senior Staff,1994-08-03,234014
Uwe,Hiltgen,Senior Staff,2001-12-05,234015
Katsuo,Sewelson,Senior Engineer,1990-08-10,234016
Yuqun,Ventosa,Senior Staff,1997-12-17,234024
Uta,Boyle,Senior Staff,2000-01-18,234025
Xudong,Hitomi,Senior Staff,1994-05-11,234031
Gift,Zschoche,Staff,1999-09-04,234045
Guadalupe,Valtorta,Senior Staff,2001-09-15,234046
Janche,Cronan,Senior Staff,1988-12-09,234054
Udaiprakash,Perng,Staff,1995-06-30,234056
Pranay,Haddadi,Staff,1999-04-13,234066
Rance,Viele,Senior Staff,1998-02-22,234084
Mabry,Rusmann,Senior Engineer,1990-06-23,234092
Sastry,Steinauer,Senior Staff,1998-11-30,234094
Saddek,Ulupinar,Senior Staff,1997-04-08,234098
Bezalel,Melichar,Senior Staff,1996-03-02,234100
Bikash,Broder,Senior Staff,1994-09-08,234105
Heekeun,Ghazalie,Senior Engineer,2001-01-14,234120
Arumugam,Ranka,Senior Engineer,1987-03-05,234131
Leszek,Roison,Engineer,1995-10-11,234136
Felicidad,Molenaar,Senior Engineer,2000-04-21,234146
Wayne,Ozeki,Senior Staff,1989-01-16,234151
Remzi,Beerel,Senior Engineer,1994-09-22,234153
Mitchel,Montemayor,Senior Staff,1994-08-27,234156
Tsutomu,Codenie,Senior Staff,1995-02-15,234157
Isamu,Birke,Senior Staff,1995-07-03,234166
Make,Dulli,Senior Engineer,1998-11-21,234172
Bangqing,Underwood,Senior Engineer,1991-06-12,234179
Masali,Camarinopoulos,Senior Engineer,1994-05-27,234181
Ramya,Asmuth,Senior Engineer,2001-12-08,234185
Georgy,Bouloucos,Engineer,1992-12-04,234193
Mingsen,Riexinger,Assistant Engineer,1992-08-01,234207
Yucai,Horswill,Senior Staff,2002-03-13,234208
Yunming,Matzen,Technique Leader,1987-09-24,234214
Falguni,Waymire,Senior Engineer,1993-12-22,234230
Edwin,Minakawa,Senior Engineer,1993-10-29,234234
Falguni,Bugrara,Senior Engineer,2000-04-30,234237
Lobel,Gien,Senior Staff,1989-01-17,234242
Eirik,Kavraki,Senior Staff,1996-08-29,234252
Subhash,Staylopatis,Senior Staff,1985-04-28,234253
Sadok,Kaminger,Senior Engineer,1996-09-24,234256
Fei,Gils,Engineer,1992-12-20,234265
Zito,Karnin,Technique Leader,1987-05-29,234281
Sasan,Rosis,Senior Engineer,1993-12-28,234282
Gen,Schaaf,Senior Engineer,1997-09-21,234291
Subhrajyoti,Beznosov,Senior Engineer,1998-10-31,234300
Filipp,Encarnacion,Staff,1988-02-05,234302
Shin,Zaumen,Engineer,1994-09-12,234307
Bojan,Murtagh,Senior Staff,2000-10-15,234310
Fusako,Haddadi,Senior Staff,1992-11-20,234311
Zissis,Ruther,Senior Staff,1995-12-12,234312
Boaz,Nittel,Senior Staff,1988-03-08,234314
Willard,Calkin,Engineer,1995-04-02,234317
Munehiko,Sherertz,Engineer,1998-12-17,234326
Cullen,Cherinka,Senior Engineer,1993-06-28,234331
Kshitij,Kornatzky,Senior Staff,2000-05-26,234334
Masasuke,Thorensen,Senior Staff,2001-08-10,234337
Tomoyuki,Muchinsky,Senior Engineer,1997-06-24,234347
Heather,Maraist,Technique Leader,1997-03-20,234357
Ioana,Ebeling,Senior Engineer,1999-11-29,234358
Chiranjit,Kamber,Senior Staff,1991-08-01,234361
Goncalo,McFarlan,Senior Engineer,1996-11-20,234366
Hairong,Shackell,Senior Staff,1996-06-15,234374
Mokhtar,Arlazarov,Senior Engineer,1997-10-20,234390
Kazuhide,Sichman,Senior Staff,1992-05-30,234394
Tsz,Oskamp,Senior Staff,2000-06-26,234397
Martine,Zirintsis,Technique Leader,1985-10-03,234400
Indrajit,Georgatos,Senior Engineer,1999-07-18,234403
Arunas,Kusakari,Senior Engineer,1995-09-13,234417
Vasilis,Rosaz,Senior Engineer,2000-01-15,234427
Bodh,Perin,Staff,2000-01-14,234428
Otmar,Strandh,Senior Engineer,1986-10-20,234434
Sreekrishna,Schnelling,Senior Staff,1985-06-19,234438
Marlo,Hutton,Senior Engineer,1995-08-25,234442
Yifei,Schwabacher,Senior Staff,1992-08-25,234452
Arto,Stranks,Senior Engineer,1992-02-24,234457
Zdislav,Ferriere,Senior Engineer,1994-02-01,234495
Dmitry,Zockler,Engineer,1998-10-12,234500
Hisao,Capobianchi,Senior Engineer,1987-10-10,234501
Mani,Emmart,Senior Staff,1993-05-26,234511
Kitty,Lortz,Senior Engineer,1991-11-23,234512
Chriss,Eastman,Senior Staff,1995-09-23,234515
Unal,Peral,Senior Engineer,1992-07-11,234516
Fai,Yemenis,Senior Staff,1995-07-07,234524
Mostafa,Swan,Senior Staff,1989-05-16,234530
Saniya,Tokunaga,Senior Staff,1987-07-05,234552
Oldrich,Georgatos,Staff,1999-06-10,234560
Howell,Berztiss,Senior Engineer,1994-10-19,234562
Moti,Assaf,Senior Engineer,1994-04-30,234566
Shigeichiro,Serna,Senior Staff,1991-03-20,234569
Kshitij,Hemaspaandra,Senior Engineer,1997-12-11,234591
Alexius,Lanzelotte,Technique Leader,1985-09-06,234601
Deniz,Ambroszkiewicz,Engineer,1994-02-21,234603
Patricia,Aingworth,Senior Staff,1994-11-03,234604
Dekang,Jenevein,Senior Staff,1992-01-29,234617
Morrie,Luck,Senior Staff,1994-02-03,234639
Arvind,Schaar,Engineer,1997-10-10,234643
Ravishankar,Kroon,Engineer,1998-02-09,234663
Basem,Loncour,Senior Engineer,1992-08-19,234668
Yaghout,Valiente,Engineer,1999-01-12,234676
True,Juneja,Senior Staff,1994-08-13,234677
Dmitri,Bridgland,Senior Engineer,1996-12-24,234690
Stamatina,Bernatsky,Senior Engineer,2001-10-09,234694
Sachio,Azumi,Senior Staff,1996-02-04,234699
Deborah,Levasseur,Engineer,2002-06-14,234703
Lena,Chandrasekhar,Senior Staff,1998-05-04,234709
Heather,Feldhoffer,Senior Engineer,1994-08-28,234717
Jasminko,Assaf,Senior Staff,1991-10-11,234718
Collette,Kropatsch,Technique Leader,1991-01-29,234729
DeForest,Schaar,Senior Staff,1987-01-10,234740
Harjit,Hiltgen,Senior Engineer,1985-10-05,234756
Lijia,Borstler,Assistant Engineer,1999-09-02,234761
Hitofumi,Badache,Staff,1988-10-25,234777
Yuriy,Pehl,Senior Staff,1998-10-13,234782
Margo,Schoegge,Senior Engineer,1998-07-04,234797
Susanna,Stanfel,Staff,1988-08-31,234798
Yinlin,Debuse,Senior Staff,1991-11-03,234802
Uriel,Sidou,Engineer,1998-07-04,234804
Jacqueline,Baalen,Staff,1999-03-05,234809
Dietrich,Tagansky,Senior Engineer,1986-10-14,234813
Filipe,Langford,Senior Engineer,2002-07-13,234816
Remzi,Srimani,Senior Engineer,1998-04-11,234827
Gopalakrishnan,Pintelas,Senior Engineer,1992-10-17,234829
Alexius,Wallrath,Staff,1986-05-28,234847
Xiaobin,Bael,Senior Engineer,1986-11-06,234848
Insup,Szemeredi,Senior Engineer,1985-03-12,234853
Marit,Sevcikova,Staff,1998-07-13,234854
Conal,Cronin,Senior Engineer,1991-02-16,234874
Ravishankar,Erez,Senior Staff,1995-01-20,234891
Kannan,Khalil,Staff,1988-01-21,234918
Tonia,Chepyzhov,Staff,1996-09-28,234929
Basant,Erev,Senior Engineer,1992-11-01,234930
True,Brodie,Senior Staff,1993-04-28,234932
Caolyn,Azumi,Staff,1996-05-09,234934
Pohua,Ouhyoung,Engineer,2001-11-29,234941
Aiman,Cappelli,Senior Staff,1992-10-05,234960
Greger,Fujisaki,Technique Leader,1993-10-06,234962
Sibyl,Munawer,Engineer,1986-05-22,234971
Zejun,Dredge,Staff,1996-02-04,234979
Mohamadou,Markovitch,Engineer,1997-04-26,234990
Wuxu,Schade,Senior Engineer,1996-07-21,234993
Mori,Talmon,Technique Leader,1989-10-22,234995
Mark,Hasham,Senior Engineer,1997-05-07,234996
Mayuko,Armand,Senior Engineer,1999-08-02,234998
Anneke,Escriba,Senior Engineer,1999-11-25,235001
Leon,Matzel,Engineer,1988-05-08,235006
Guozhong,Basawa,Senior Engineer,1987-06-08,235018
Tooru,Peir,Staff,1998-03-14,235019
Sariel,VanScheik,Senior Staff,1993-07-15,235024
Yucai,Juneja,Senior Engineer,1994-05-30,235028
Satoru,Oaver,Senior Staff,1998-08-04,235029
Toong,Rattan,Staff,1995-04-25,235034
Yinghua,Portugali,Staff,1997-11-21,235057
Takahito,Mapelli,Senior Engineer,1991-05-10,235062
Noritoshi,Schwartzburd,Senior Staff,1987-02-14,235063
Yoshinari,Ullian,Senior Engineer,1996-11-18,235078
Karsten,DeMori,Engineer,1991-10-02,235084
Gilbert,Mersereau,Senior Staff,1993-11-02,235088
Christ,Murtha,Senior Staff,1992-05-03,235098
DAIDA,Comellas,Senior Engineer,1993-06-16,235107
Boriana,Biran,Senior Staff,1993-08-17,235110
Sandeepan,Byoun,Senior Staff,1993-12-30,235115
Masami,Bratsberg,Senior Staff,1989-09-14,235134
Parto,Azuma,Senior Engineer,1997-06-13,235136
Bader,Marrevee,Senior Staff,1997-06-12,235146
Mountaz,Rouquie,Senior Engineer,1991-09-23,235148
Deborah,Petereit,Engineer,1994-05-31,235177
Mototsugu,Bade,Senior Staff,1991-03-15,235180
Irene,Marakhovsky,Senior Engineer,2000-03-11,235184
Matt,Provine,Engineer,1989-07-06,235190
Abdelwaheb,Baig,Senior Staff,1987-05-22,235197
Toshimori,Fetvedt,Senior Staff,1995-09-14,235215
Aloke,Binding,Senior Staff,1994-01-15,235225
Ramzi,Spinelli,Senior Engineer,1996-09-25,235232
Kotesh,Furudate,Engineer,1996-11-01,235236
Temple,Lundstrom,Senior Engineer,1987-02-27,235239
Alassane,Denny,Senior Engineer,1999-05-19,235245
Fusako,Apsitis,Senior Staff,1996-02-01,235263
Troy,Anido,Senior Engineer,2001-03-02,235267
Nadjib,Matzke,Senior Engineer,2000-07-13,235270
Gregory,Azuma,Senior Staff,1991-08-20,235271
Stafford,Perly,Technique Leader,1994-07-10,235275
Yifei,Pelc,Senior Staff,2000-06-19,235280
Falguni,Munch,Engineer,1997-06-08,235282
Diederik,Morrey,Senior Engineer,1993-12-27,235285
Gian,Condotta,Senior Staff,1990-11-13,235286
Arco,Glowinski,Senior Engineer,1993-07-16,235287
Arto,Fontet,Engineer,1996-04-16,235291
Sorina,Gerteisen,Senior Staff,1995-10-23,235317
Abdelwaheb,Gustavson,Senior Engineer,1995-01-08,235326
KayLiang,Nooteboom,Engineer,1988-03-15,235330
Gian,Sidou,Senior Engineer,1990-10-18,235337
Cristinel,Burnard,Engineer,1988-12-07,235344
Jinya,Merro,Engineer,1997-11-11,235348
Uri,Hempstead,Senior Engineer,1992-09-07,235356
Badri,Snyers,Senior Staff,2000-12-24,235359
Lein,Castellani,Senior Staff,1996-11-26,235360
Marie,Keohane,Senior Staff,1987-01-04,235364
Xinyu,Esteva,Technique Leader,1997-02-01,235366
Lucien,Wrigley,Senior Engineer,2001-06-26,235367
Tzu,Merle,Senior Engineer,1993-04-25,235371
Guther,Kusalik,Senior Staff,1994-04-21,235377
Ghassan,Pillow,Senior Staff,1994-07-07,235382
Eirik,Egerstedt,Senior Staff,1999-08-05,235386
Mara,Gill,Senior Engineer,1993-04-12,235393
Visit,Ecklund,Senior Staff,1991-10-05,235394
Tristan,England,Senior Engineer,2001-03-19,235400
Chinho,Stentiford,Senior Engineer,1993-10-19,235404
Ronnie,Highland,Senior Staff,1993-02-02,235410
Mingzeng,Litzler,Staff,1988-04-12,235411
Deborah,Schiper,Senior Staff,1994-12-24,235425
Pranay,Coullard,Senior Staff,1995-10-23,235435
Hidekazu,Mawatari,Technique Leader,1994-06-30,235450
Guadalupe,Lally,Senior Engineer,1989-11-05,235454
Inderjeet,Giarratana,Senior Staff,1998-03-13,235460
Kiyotoshi,Eldridge,Senior Engineer,1987-06-27,235475
Babette,Poulakidas,Senior Staff,1995-11-26,235482
Tse,Bahr,Senior Engineer,1993-02-09,235486
Tommaso,Reinhart,Senior Staff,1997-04-30,235488
Jaber,Shokrollahi,Senior Engineer,1994-09-13,235506
Bodh,Ranka,Senior Staff,1997-08-23,235512
Jolita,Itzigehl,Senior Staff,1990-08-20,235524
Shuji,Veevers,Staff,1988-09-08,235531
Fatemeh,Collette,Senior Engineer,1992-07-06,235545
Muneo,Nanard,Senior Staff,1994-03-08,235548
Kyoichi,Bage,Engineer,1996-11-16,235554
Lein,Billawala,Senior Staff,1990-11-14,235558
Doohun,Beerel,Staff,2000-01-24,235562
Suvo,Hopewell,Senior Engineer,1997-11-21,235565
Xuedong,Kleiser,Senior Staff,1992-04-22,235566
Izaskun,Trachtenberg,Senior Engineer,1999-04-22,235568
Suzette,Swist,Senior Engineer,1994-03-16,235570
Adil,Stamatiou,Senior Staff,1997-02-07,235573
Yannik,Heemskerk,Senior Engineer,1999-08-01,235594
Makato,Kobara,Senior Engineer,1996-04-06,235597
Fun,Angel,Senior Engineer,1993-10-15,235601
Aron,Rajaraman,Senior Engineer,1993-01-09,235605
Jiong,Vadhan,Senior Engineer,2001-07-02,235608
Aamer,Talmor,Senior Staff,1992-03-11,235609
Mizuhito,Loncour,Senior Staff,1985-11-30,235626
Aleksander,Perz,Engineer,1987-04-30,235629
Yechezkel,Khamsi,Staff,1990-11-14,235631
Bernardo,Gyimothy,Senior Staff,1995-03-29,235643
Mona,Carrere,Senior Staff,1985-11-26,235645
Hugo,Sluis,Engineer,1987-06-03,235653
Adil,Gyorkos,Senior Staff,1995-06-28,235658
Hideyuki,Lanzelotte,Assistant Engineer,1999-12-20,235659
Along,Menhardt,Senior Staff,1994-04-10,235661
Geraldo,Lukaszewicz,Senior Staff,1992-03-28,235665
Lenore,Tomescu,Senior Engineer,1994-07-05,235678
Horward,Georgatos,Senior Engineer,1999-05-13,235684
Shuichi,Fendler,Senior Engineer,1988-04-01,235706
Jayesh,Backhouse,Senior Staff,1995-01-26,235708
Sachem,Bonifati,Senior Staff,1996-07-12,235710
Wilmer,Lores,Senior Staff,1993-07-06,235720
Rosalyn,Gill,Senior Staff,1992-09-14,235731
Miquel,Lagarias,Senior Engineer,1991-10-13,235735
Arco,Baer,Senior Staff,2002-07-26,235740
Georgi,Schonegge,Senior Engineer,1993-04-18,235773
Chriss,Driscoll,Senior Staff,1995-12-23,235775
Christoph,Brickell,Senior Staff,1993-07-30,235776
Przemyslawa,Schlumberger,Staff,1999-06-18,235786
Shigehiro,Hofting,Assistant Engineer,1999-05-03,235790
Huan,Belinskaya,Engineer,1997-11-23,235800
Sedat,Thimonier,Engineer,1985-05-26,235824
Frazer,Kolinko,Technique Leader,1986-12-10,235826
Kish,Ducloy,Senior Engineer,1995-07-30,235834
Danai,Cannata,Senior Staff,1987-08-05,235837
Stafford,Ibel,Staff,1994-12-19,235841
Neven,Openshaw,Senior Engineer,1997-12-28,235862
Hercules,Ginesta,Engineer,1998-02-28,235881
Berry,Ishibashi,Senior Engineer,1994-05-17,235884
Toshiko,Picht,Engineer,1999-12-02,235899
Zeljko,Riefers,Senior Staff,1988-04-09,235905
Eckart,Denti,Senior Engineer,1986-11-24,235908
Moto,Atchley,Senior Engineer,1993-02-17,235937
Gen,Unno,Senior Engineer,1989-03-24,235951
Hiroyasu,Roohalamini,Senior Staff,1991-11-24,235952
Kwangho,Ulupinar,Senior Staff,1987-03-21,235957
Cullen,Serre,Senior Engineer,1993-09-14,235980
Matt,Kroll,Senior Engineer,1990-05-01,236015
Nishit,Gerlach,Senior Engineer,1995-05-12,236019
Mayuri,Harnett,Senior Staff,1995-07-02,236022
Rosli,Varley,Assistant Engineer,1993-12-23,236030
Aiichiro,Alpin,Senior Engineer,1995-10-08,236038
Girolamo,Nergos,Senior Staff,1992-08-12,236041
Yoshinari,Marchesini,Senior Engineer,1995-11-03,236050
Jiakeng,Zallocco,Senior Engineer,1992-11-09,236059
Constantijn,Joslin,Senior Engineer,1998-11-28,236062
Radoslaw,Collette,Senior Engineer,1994-07-25,236067
